the_geom,NAME,STREETNAME,HOUSENUM,CITY,ZIP,URL,BIN,BBL,X,Y,SYSTEM,BOROCODE
POINT (-74.07786385638836 40.626256522293644),Stapleton,Canal Street,132,Staten Island,10304,http://www.nypl.org/locations/stapleton,"5,013,792",5005260063,"962,635.966797","167,448.122986",NYPL,5
POINT (-73.98223080385785 40.75320442290988),Stephen A. Schwarzman Building,Fifth Avenue at 42nd Street,,New York,10018,http://www.nypl.org/locations/schwarzman,"1,034,194",1012570001,"989,173.125427","213,689.86084",NYPL,1
POINT (-73.97254082689402 40.75680235018433),Terence Cardinal Cooke-Cathedral,Lexington Avenue,560,New York,10022,http://www.nypl.org/locations/cathedral,"1,036,451",1013050013,"991,857.414795","215,001.395386",NYPL,1
POINT (-73.8190949368255 40.82287218481685),Throg's Neck,Cross Bronx Expressway Extension,3025,Bronx,10465,http://www.nypl.org/locations/throgs-neck,"2,077,131",2054390001,"1,034,319.0188","239,123.41803",NYPL,2
POINT (-74.14852127833858 40.60960200172146),Todt Hill-Westerleigh,Victory Boulevard,2550,Staten Island,10314,http://www.nypl.org/locations/todt-hill-westerleigh,"5,035,398",5020990005,"943,012.076233","161,405.796814",NYPL,5
POINT (-73.98042071146763 40.72728802667872),Tompkins Square,East 10th Street,331,New York,10009,http://www.nypl.org/locations/tompkins-square,"1,005,147",1004040039,"989,676.739014","204,247.802795",NYPL,1
POINT (-74.24410670826178 40.509531123859375),Tottenville,Amboy Road,7430,Staten Island,10307,http://www.nypl.org/locations/tottenville,"5,088,113",5078990009,"916,370.601298","125,007.163094",NYPL,5
POINT (-73.89834943816875 40.84604568736388),Tremont,Washington Avenue,1866,Bronx,10457,http://www.nypl.org/locations/tremont,"2,009,573",2029180001,"1,012,374","247,531",NYPL,2
POINT (-73.8939211860628 40.88277969546436),Van Cortlandt,Sedgwick Avenue,3874,Bronx,10463,http://www.nypl.org/locations/van-cortlandt,"2,015,233",2032460074,"1,013,582.97119","260,916.072205",NYPL,2
POINT (-73.85958124409599 40.891085065406706),Wakefield,Lowerre Place,4100,Bronx,10466,http://www.nypl.org/locations/wakefield,"2,063,175",2048320020,"1,023,073.81276","263,955.410459",NYPL,2
POINT (-73.93971034945567 40.834548887305765),Washington Heights,St. Nicholas Avenue,1000,New York,10032,http://www.nypl.org/locations/washington-heights,"1,062,551",1021090055,"1,000,933.42401","243,331.709412",NYPL,1
POINT (-73.95134169404905 40.770652543462646),Webster,York Avenue,1465,New York,10021,http://www.nypl.org/locations/webster,"1,045,991",1014720028,"997,727.716143","220,050.028126",NYPL,1
POINT (-73.88301210482436 40.844644453005635),West Farms,Honeywell Avenue,2085,Bronx,10460,http://www.nypl.org/locations/west-farms,"2,013,151",2031230061,"1,016,618.11041","247,025.773621",NYPL,2
POINT (-74.11482187344863 40.63450894226954),West New Brighton,Castleton Avenue,976,Staten Island,10310,http://www.nypl.org/locations/west-new-brighton,"5,004,936",5001780115,"952,380.829147","170,465.980968",NYPL,5
